Title,Author,Length,Link
Master Class 4,"By: Virgil Knightley, Annabelle Hawthorne",Length: 11 hrs and 12 mins,https://www.audible.com/pd/Master-Class-4-Audiobook/B0DB9QXZJS?qid=1722342545&sr=1-1&ref_pageloadid=not_applicable&ref=a_search_c3_lProduct_1_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=B6XFR29VR5J0S8CGQJGS&pageLoadId=nsZUEgSLQ4d1VQD0&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Saintess Summons Skeletons 2,By: Mornn,Length: 22 hrs and 53 mins,https://www.audible.com/pd/Saintess-Summons-Skeletons-2-Audiobook/B0DB9VS4PD?qid=1722342545&sr=1-2&ref_pageloadid=not_applicable&ref=a_search_c3_lProduct_1_2&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=B6XFR29VR5J0S8CGQJGS&pageLoadId=nsZUEgSLQ4d1VQD0&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Sons of Fenris,By: Lee Lightner,Length: 10 hrs and 52 mins,https://www.audible.com/pd/Sons-of-Fenris-Audiobook/B0D8LF5LPC?qid=1722342545&sr=1-3&ref_pageloadid=not_applicable&ref=a_search_c3_lProduct_1_3&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=B6XFR29VR5J0S8CGQJGS&pageLoadId=nsZUEgSLQ4d1VQD0&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Kraken Mage,By: Robin Hutson,Length: 10 hrs and 41 mins,https://www.audible.com/pd/Kraken-Mage-Audiobook/B0DB9GR7JH?qid=1722342545&sr=1-4&ref_pageloadid=not_applicable&ref=a_search_c3_lProduct_1_4&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=B6XFR29VR5J0S8CGQJGS&pageLoadId=nsZUEgSLQ4d1VQD0&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Mark of the Fool 6,By: J.M. Clarke,Length: 23 hrs and 3 mins,https://www.audible.com/pd/Mark-of-the-Fool-6-Audiobook/B0D94THHPZ?qid=1722342545&sr=1-5&ref_pageloadid=not_applicable&ref=a_search_c3_lProduct_1_5&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=B6XFR29VR5J0S8CGQJGS&pageLoadId=nsZUEgSLQ4d1VQD0&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
A Many-Threaded Tapestry,By: Olan Thorensen,Length: 24 hrs and 11 mins,https://www.audible.com/pd/A-Many-Threaded-Tapestry-Audiobook/B0D9YV285H?qid=1722342545&sr=1-6&ref_pageloadid=not_applicable&ref=a_search_c3_lProduct_1_6&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=B6XFR29VR5J0S8CGQJGS&pageLoadId=nsZUEgSLQ4d1VQD0&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Task Force Hammer,By: Craig Alanson,Length: 21 hrs and 40 mins,https://www.audible.com/pd/Task-Force-Hammer-Audiobook/B0D38CR7BR?qid=1722342545&sr=1-7&ref_pageloadid=not_applicable&ref=a_search_c3_lProduct_1_7&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=B6XFR29VR5J0S8CGQJGS&pageLoadId=nsZUEgSLQ4d1VQD0&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Radley's Christmas for Horny Monsters,By: Annabelle Hawthorne,Length: 25 hrs and 44 mins,https://www.audible.com/ac/Radleys-Christmas-for-Horny-Monsters-Audiobook/B0DB9M7LQG?qid=1722342545&sr=1-8&ref_pageloadid=not_applicable&ref=a_search_c3_lProduct_1_8&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=B6XFR29VR5J0S8CGQJGS&pageLoadId=nsZUEgSLQ4d1VQD0&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
Lelith Hesperax: Queen of Knives,By: Mike Brooks,Length: 5 hrs and 59 mins,https://www.audible.com/pd/Lelith-Hesperax-Queen-of-Knives-Audiobook/B0D7MVDGT8?qid=1722342545&sr=1-9&ref_pageloadid=not_applicable&ref=a_search_c3_lProduct_1_9&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=B6XFR29VR5J0S8CGQJGS&pageLoadId=nsZUEgSLQ4d1VQD0&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
The Dragon's Prophecy,By: Jonathan Cahn,Length: Not Yet Known,https://www.audible.com/pd/The-Dragons-Prophecy-Audiobook/B0DB6CW9FD?qid=1722342545&sr=1-10&ref_pageloadid=not_applicable&ref=a_search_c3_lProduct_1_10&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=B6XFR29VR5J0S8CGQJGS&pageLoadId=nsZUEgSLQ4d1VQD0&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c
