Date,Home Team,Score,Away Team
13-08-2023,Adana Demirspor,2 - 1,Rizespor
21-08-2023,Ankaragucu,1 - 1,Adana Demirspor
03-09-2023,Hatayspor,3 - 3,Adana Demirspor
16-09-2023,Adana Demirspor,3 - 0,Pendikspor
24-09-2023,Kasimpasa,2 - 1,Adana Demirspor
27-09-2023,Adana Demirspor,4 - 2,Besiktas
01-10-2023,Adana Demirspor,4 - 0,Alanyaspor
06-10-2023,Adana Demirspor,1 - 0,Trabzonspor
23-10-2023,Fatih Karagümrük,2 - 0,Adana Demirspor
28-10-2023,Adana Demirspor,3 - 0,Konyaspor
05-11-2023,Sivasspor,1 - 1,Adana Demirspor
12-11-2023,Adana Demirspor,0 - 0,Fenerbahce
26-11-2023,Kayserispor,1 - 1,Adana Demirspor
02-12-2023,Adana Demirspor,2 - 3,Samsunspor
08-12-2023,Galatasaray,3 - 1,Adana Demirspor
19-12-2023,Gaziantep BBK,2 - 2,Adana Demirspor
24-12-2023,Adana Demirspor,2 - 1,Antalyaspor
06-01-2024,Buyuksehyr,0 - 0,Adana Demirspor
10-01-2024,Adana Demirspor,2 - 2,İstanbulspor
13-01-2024,Rizespor,1 - 0,Adana Demirspor
20-01-2024,Adana Demirspor,1 - 1,Ankaragucu
23-01-2024,Besiktas,0 - 0,Adana Demirspor
27-01-2024,Adana Demirspor,0 - 1,Hatayspor
04-02-2024,Pendikspor,2 - 1,Adana Demirspor
09-02-2024,Adana Demirspor,1 - 3,Kasimpasa
18-02-2024,Alanyaspor,3 - 3,Adana Demirspor
25-02-2024,Trabzonspor,1 - 0,Adana Demirspor
04-03-2024,Adana Demirspor,1 - 0,Fatih Karagümrük
09-03-2024,Konyaspor,2 - 2,Adana Demirspor
16-03-2024,Adana Demirspor,4 - 1,Sivasspor
03-04-2024,Fenerbahce,4 - 2,Adana Demirspor
13-04-2024,Adana Demirspor,0 - 0,Kayserispor
20-04-2024,Samsunspor,1 - 1,Adana Demirspor
26-04-2024,Adana Demirspor,0 - 3,Galatasaray
04-05-2024,İstanbulspor,0 - 1,Adana Demirspor
12-05-2024,Adana Demirspor,1 - 6,Gaziantep BBK
17-05-2024,Antalyaspor,2 - 1,Adana Demirspor
26-05-2024,Adana Demirspor,2 - 6,Buyuksehyr
14-08-2023,Alanyaspor,2 - 0,Buyuksehyr
19-08-2023,Rizespor,0 - 0,Alanyaspor
27-08-2023,Alanyaspor,0 - 0,Hatayspor
02-09-2023,Pendikspor,1 - 1,Alanyaspor
17-09-2023,Alanyaspor,3 - 3,Kasimpasa
24-09-2023,Alanyaspor,0 - 1,Fenerbahce
01-10-2023,Adana Demirspor,4 - 0,Alanyaspor
06-10-2023,Alanyaspor,2 - 1,Fatih Karagümrük
23-10-2023,Trabzonspor,1 - 0,Alanyaspor
28-10-2023,Alanyaspor,1 - 2,Sivasspor
06-11-2023,Kayserispor,1 - 0,Alanyaspor
11-11-2023,Alanyaspor,0 - 3,Gaziantep BBK
25-11-2023,Galatasaray,4 - 0,Alanyaspor
02-12-2023,Alanyaspor,2 - 2,Konyaspor
10-12-2023,İstanbulspor,0 - 1,Alanyaspor
21-12-2023,Besiktas,1 - 3,Alanyaspor
25-12-2023,Alanyaspor,3 - 1,Samsunspor
05-01-2024,Antalyaspor,0 - 0,Alanyaspor
09-01-2024,Alanyaspor,1 - 1,Ankaragucu
13-01-2024,Buyuksehyr,3 - 2,Alanyaspor
20-01-2024,Alanyaspor,2 - 1,Rizespor
23-01-2024,Hatayspor,1 - 1,Alanyaspor
27-01-2024,Alanyaspor,1 - 1,Pendikspor
04-02-2024,Kasimpasa,2 - 1,Alanyaspor
11-02-2024,Fenerbahce,2 - 2,Alanyaspor
18-02-2024,Alanyaspor,3 - 3,Adana Demirspor
25-02-2024,Fatih Karagümrük,1 - 1,Alanyaspor
04-03-2024,Alanyaspor,3 - 1,Trabzonspor
09-03-2024,Sivasspor,1 - 2,Alanyaspor
16-03-2024,Alanyaspor,1 - 0,Kayserispor
02-04-2024,Gaziantep BBK,0 - 3,Alanyaspor
15-04-2024,Alanyaspor,0 - 4,Galatasaray
20-04-2024,Konyaspor,0 - 2,Alanyaspor
28-04-2024,Alanyaspor,6 - 0,İstanbulspor
03-05-2024,Ankaragucu,1 - 1,Alanyaspor
12-05-2024,Alanyaspor,1 - 1,Besiktas
18-05-2024,Samsunspor,1 - 1,Alanyaspor
24-05-2024,Alanyaspor,1 - 1,Antalyaspor
12-08-2023,Kasimpasa,3 - 2,Ankaragucu
21-08-2023,Ankaragucu,1 - 1,Adana Demirspor
27-08-2023,Fatih Karagümrük,1 - 1,Ankaragucu
03-09-2023,Ankaragucu,0 - 1,Fenerbahce
18-09-2023,Sivasspor,1 - 3,Ankaragucu
24-09-2023,Ankaragucu,1 - 1,Konyaspor
30-09-2023,Galatasaray,2 - 1,Ankaragucu
07-10-2023,Ankaragucu,3 - 0,Kayserispor
22-10-2023,İstanbulspor,2 - 1,Ankaragucu
29-10-2023,Ankaragucu,2 - 0,Samsunspor
05-11-2023,Buyuksehyr,3 - 3,Ankaragucu
10-11-2023,Ankaragucu,0 - 4,Antalyaspor
25-11-2023,Gaziantep BBK,0 - 1,Ankaragucu
03-12-2023,Ankaragucu,1 - 1,Besiktas
11-12-2023,Ankaragucu,1 - 1,Rizespor
21-12-2023,Ankaragucu,0 - 0,Hatayspor
25-12-2023,Pendikspor,1 - 1,Ankaragucu
06-01-2024,Ankaragucu,0 - 1,Trabzonspor
09-01-2024,Alanyaspor,1 - 1,Ankaragucu
13-01-2024,Ankaragucu,3 - 1,Kasimpasa
20-01-2024,Adana Demirspor,1 - 1,Ankaragucu
